case_id,lab_source,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,deterministic_findings,expected_next_command,expected_fix
NETSAGE-001,Keith Lab 2020-07-17.pkt,PC1 is unable to obtain an IP address via DHCP and receives APIPA address (169.254.x.x). Cannot reach default gateway or any network resources.,PC1 connected to Access SW (FastEthernet0/3) in VLAN 10. Core1 acts as Layer 3 Gateway (SVI VLAN 10). DHCP Server is located on Server2 (10.16.8.8) on separate subnet.,"PC1> ipconfig
IP Address: 169.254.12.44
Subnet Mask: 255.255.0.0
Default Gateway: 0.0.0.0

Core1# show run interface vlan 10
interface Vlan10
 ip address 10.16.0.1 255.255.255.0
!
Core1# show ip dhcp snooping
DHCP Snooping is enabled on VLAN 10",Missing DHCP Relay Agent ('ip helper-address 10.16.8.8') on Core1 SVI VLAN 10 interface.,Layer 3 (Network) / Layer 7 (Application),DHCP,High,RULE_WARNING: DHCP client on VLAN 10 has no local DHCP pool and SVI Vlan10 is missing 'ip helper-address' pointing to DHCP Server 10.16.8.8.,show run interface vlan 10,"Core1(config)# interface vlan 10
Core1(config-if)# ip helper-address 10.16.8.8
Core1(config-if)# end
Core1# write memory"
NETSAGE-002,Keith Lab 2020-07-17.pkt,PC1 has static IP 10.16.0.10/24 configured but cannot ping default gateway 10.16.0.1.,PC1 is connected to Access SW port FastEthernet0/3. Gateway 10.16.0.1 resides on Core1 SVI Vlan 10.,"PC1> ping 10.16.0.1
Pinging 10.16.0.1 with 32 bytes of data:
Request timed out.
Request timed out.

Access SW# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/4 - Fa0/24
10   USERS_VLAN                       active    
20   SERVERS_VLAN                     active    Fa0/3

Access SW# show interface FastEthernet0/3 switchport
Name: Fa0/3
Administrative Mode: static access
Access Mode VLAN: 20 (SERVERS_VLAN)",Access Switch port FastEthernet0/3 assigned to wrong VLAN (VLAN 20 instead of VLAN 10).,Layer 2 (Data Link),VLAN,High,RULE_ERROR: Host PC1 IP subnet (10.16.0.0/24 - VLAN 10) connected to switchport Fa0/3 configured with Access VLAN 20.,show interface FastEthernet0/3 switchport,"Access SW(config)# interface FastEthernet0/3
Access SW(config-if)# switchport mode access
Access SW(config-if)# switchport access vlan 10
Access SW(config-if)# end"
NETSAGE-003,Keith Lab 2020-07-17.pkt,Inter-VLAN communication fails: PC1 (VLAN 10) cannot reach Server3 (VLAN 30). Gateway ping to 10.16.0.1 succeeds.,Trunk connection between Access SW (Fa0/1) and Core1 (Gi1/0/4) carries VLAN traffic.,"Access SW# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Fa0/1       10,20

Core1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi1/0/4     on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi1/0/4     1-4094",Trunk port Fa0/1 on Access SW is missing VLAN 30 in the allowed VLAN list.,Layer 2 (Data Link),VLAN,Medium,"RULE_WARNING: Trunk link Access SW:Fa0/1 to Core1:Gi1/0/4 allowed VLAN list '10,20' excludes active VLAN 30.",show interfaces Fa0/1 switchport,"Access SW(config)# interface FastEthernet0/1
Access SW(config-if)# switchport trunk allowed vlan add 30
Access SW(config-if)# end"
NETSAGE-004,Keith Lab 2020-07-17.pkt,Intermittent connectivity to Gateway 10.16.0.1 from PC1. Duplicate IP address collision logged.,Core1 SVI Vlan 10 has IP 10.16.0.1. A rogue or misconfigured Server was recently connected to SW2.,"Core1# show log
%IP-4-DUPADDR: Duplicate address 10.16.0.1 on Vlan10, sourced by 0001.974c.6b79

SW2# show mac address-table | include 0001.974c.6b79
10    0001.974c.6b79    DYNAMIC     Fa0/2

Server2# show ip interface brief
FastEthernet0       10.16.0.1       YES manual up                    up",Duplicate IP address configured on Server2 (10.16.0.1) conflicting with Core1 Gateway IP.,Layer 3 (Network),Gateway,Critical,RULE_ERROR: Duplicate IP Address detected: 10.16.0.1 is configured on both Core1 (Vlan10) and Server2 (FastEthernet0).,show ip interface brief,"Server2(config)# interface FastEthernet0
Server2(config-if)# ip address 10.16.8.8 255.255.255.0
Server2(config-if)# end"
NETSAGE-005,Keith Lab 2020-07-17.pkt,"PC1 (10.16.0.10) cannot reach Server2 (10.16.8.8). Ping from PC1 to R1 (10.16.6.5) succeeds, but ping to 10.16.8.8 fails.",Core1 connects to R1 via Gi1/0/3. R1 connects to R2 via MetroE. R2 connects to Server2 via SW2.,"R1# show ip route 10.16.8.0
% Subnet not in table

R1# show ip route
Gateway of last resort is not set
     10.0.0.0/8 is variably subnetted, 4 subnets, 2 masks
C       10.16.6.0/24 is directly connected, GigabitEthernet0/0
C       10.16.7.0/28 is directly connected, GigabitEthernet0/2
C       192.168.1.0/24 is directly connected, GigabitEthernet0/1

R1# show ip ospf neighbor
Neighbor ID     Pri   State           Dead Time   Address         Interface
2.2.2.2           1   FULL/BDR        00:00:33    10.16.7.6       GigabitEthernet0/2",Missing route to destination subnet 10.16.8.0/24 on Router R1; R2 is not advertising 10.16.8.0/24 into OSPF.,Layer 3 (Network),Routing,High,RULE_ERROR: No route to destination subnet 10.16.8.0/24 found in R1 routing table.,show ip ospf neighbor on R2 and show run | section router ospf,"R2(config)# router ospf 1
R2(config-router)# network 10.16.8.0 0.0.0.255 area 0
R2(config-router)# end"
NETSAGE-006,2020-06-18 OSPF.pkt,OSPF neighbor adjacency between R1 and R2 is stuck in EXSTART/EXCHANGE state and never reaches FULL.,R1 and R2 connect over point-to-point GigabitEthernet0/2 link.,"R1# show ip ospf neighbor
Neighbor ID     Pri   State           Dead Time   Address         Interface
2.2.2.2           1   EXSTART/ -      00:00:38    10.16.7.6       GigabitEthernet0/2

R1# show interface GigabitEthernet0/2 | include MTU
  MTU 1500 bytes, BW 1000000 Kbit/sec, DLY 10 usec

R2# show interface GigabitEthernet0/0 | include MTU
  MTU 1400 bytes, BW 1000000 Kbit/sec, DLY 10 usec",MTU mismatch on OSPF link between R1 (MTU 1500) and R2 (MTU 1400) preventing DBD packet exchange.,Layer 3 (Network),OSPF,High,RULE_ERROR: MTU mismatch detected on link R1:Gi0/2 (MTU 1500) <-> R2:Gi0/0 (MTU 1400).,show interface GigabitEthernet0/0 | include MTU on both routers,"R2(config)# interface GigabitEthernet0/0
R2(config-if)# ip mtu 1500
R2(config-if)# end"
NETSAGE-007,2020-06-18 OSPF.pkt,R1 and MetroE switch fail to form OSPF adjacency on point-to-point link Gi0/2 <-> Gi1/0/1.,Link connecting R1 Gi0/2 to MetroE Gi1/0/1.,"R1# show ip interface GigabitEthernet0/2
GigabitEthernet0/2 is up, line protocol is up
  Internet address is 10.16.7.5/28
  Broadcast address is 10.16.7.15

MetroE# show ip interface GigabitEthernet1/0/1
GigabitEthernet1/0/1 is up, line protocol is up
  Internet address is 10.16.7.1/24
  Broadcast address is 10.16.7.255",Subnet mask mismatch on interconnect link: R1 configured with /28 (255.255.255.240) and MetroE with /24 (255.255.255.0).,Layer 3 (Network),OSPF,Critical,RULE_ERROR: Subnet mask mismatch on link R1:Gi0/2 (255.255.255.240) <-> MetroE:Gi1/0/1 (255.255.255.0).,show ip interface brief,"MetroE(config)# interface GigabitEthernet1/0/1
MetroE(config-if)# ip address 10.16.7.1 255.255.255.240
MetroE(config-if)# end"
NETSAGE-008,Keith Lab 2020-07-17.pkt,R1 is not forming OSPF adjacency with Core1 across Gi0/0 <-> Gi1/0/3 link.,R1 connects to Core1 over subnet 10.16.6.0/24.,"R1# show run | section router ospf
router ospf 1
 router-id 3.3.3.3
 passive-interface GigabitEthernet0/0
 network 10.16.6.0 0.0.0.255 area 0
 network 10.16.7.0 0.0.0.15 area 0

R1# show ip ospf neighbor
% No neighbors found on GigabitEthernet0/0","Interface GigabitEthernet0/0 is configured as passive-interface under OSPF on R1, suppressing Hello packets.",Layer 3 (Network),OSPF,Medium,RULE_WARNING: Interface GigabitEthernet0/0 is set to passive-interface under router ospf 1 despite having an active router neighbor.,show ip ospf interface GigabitEthernet0/0,"R1(config)# router ospf 1
R1(config-router)# no passive-interface GigabitEthernet0/0
R1(config-router)# end"
NETSAGE-009,2020-05-20 Routing  NTP and more WTW.pkt,"PC2 cannot open web page 'thekeithbarker.com' in web browser, but direct ping to Server IP 10.30.0.10 succeeds.",PC2 is on corporate LAN. Web and DNS services are hosted on Server (10.30.0.10).,"PC2> ping thekeithbarker.com
Host name could not be resolved: thekeithbarker.com

PC2> ping 10.30.0.10
Pinging 10.30.0.10 with 32 bytes of data:
Reply from 10.30.0.10: bytes=32 time=4ms TTL=126

PC2> ipconfig /all
IP Address: 10.30.10.50
Subnet Mask: 255.255.255.0
Default Gateway: 10.30.10.1
DNS Server: 10.30.0.99",Incorrect DNS Server IP configured on PC2 (10.30.0.99 instead of 10.30.0.10).,Layer 7 (Application),DNS,Medium,RULE_ERROR: Host PC2 DNS server IP 10.30.0.99 does not match known DNS server 10.30.0.10.,ipconfig /all on PC2 and nslookup thekeithbarker.com,Configure PC2 network settings with DNS Server: 10.30.0.10.
NETSAGE-010,2020-05-16 AAA NTP For Learnersv3.pkt,"Bob (Wireless Employee device, 10.30.20.50) cannot SSH to MLS1 management IP 10.30.0.1. Connection refused or timed out.",Employee wireless client subnet 10.30.20.0/24 connects via WLC and MLS1.,"Bob> ssh -l admin 10.30.0.1
Connection to 10.30.0.1 closed by remote host.

MLS1# show access-lists 100
Extended IP access list 100
    10 permit tcp 10.30.10.0 0.0.0.255 any eq 22 (45 matches)
    20 deny ip any any (120 matches)

MLS1# show run | section line vty
line vty 0 4
 access-class 100 in
 login authentication default
 transport input ssh",Access-class ACL 100 on MLS1 VTY lines is missing permit statement for Employee subnet (10.30.20.0/24).,Layer 4 (Transport) / Layer 7 (Application),ACL,High,RULE_WARNING: ACL 100 on line vty explicitly denies subnet 10.30.20.0/24 with implicit deny rule.,show access-lists 100 and show run | section line vty,"MLS1(config)# ip access-list extended 100
MLS1(config-ext-nacl)# 15 permit tcp 10.30.20.0 0.0.0.255 any eq 22
MLS1(config-ext-nacl)# end"
